"","Name","Year","file","Organization_type","Size","Sector","Sec_SASB","Country","Region","OECD","english_non_english"
"1","Procter & Gamble",1999,"Procter&Gamble_1999",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"2","Banrisul",2000,"Banrisul_2000",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"3","Hitachi High-Technologies Corp.",2000,"HitachiHigh-TechnologiesCorp._2000",NA,"MNE","Conglomerates","Conglomerates","Japan","Asia",NA,"english"
"4","Procter & Gamble",2000,"Procter&Gamble_2000",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"5","Vancity",2000,"Vancity_2000",NA,"Large","Financial Services","Financials","Canada","Northern America",NA,"english"
"6","Aspen Snowmass",2001,"AspenSnowmass_2001",NA,"SME","Tourism/Leisure","Tourism/Leisure","United States of America","Northern America",NA,"english"
"7","Banrisul",2001,"Banrisul_2001",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"8","Ericsson",2001,"Ericsson_2001",NA,"Large","Telecommunications","Technology and Communications","Sweden","Europe",NA,"english"
"9","Nichicon",2001,"Nichicon_2001",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"10","Procter & Gamble",2001,"Procter&Gamble_2001",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"11","Ricoh",2001,"Ricoh_2001",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"12","Yanacocha",2001,"Yanacocha_2001",NA,"Large","Mining","Extractives and Minerals Processing","Peru","Latin America & the Caribbean",NA,"non-english"
"13","Aspen Snowmass",2002,"AspenSnowmass_2002",NA,"SME","Tourism/Leisure","Tourism/Leisure","United States of America","Northern America",NA,"english"
"14","Banrisul",2002,"Banrisul_2002",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"15","Canfor Corp.",2002,"CanforCorp._2002",NA,"MNE","Forest and Paper Products","Renewable Resources & Alternative Energy","Canada","Northern America",NA,"english"
"16","Codelco",2002,"Codelco_2002",NA,"Large","Mining","Extractives and Minerals Processing","Chile","Latin America & the Caribbean",NA,"non-english"
"17","JFE Holdings",2002,"JFEHoldings_2002",NA,"MNE","Conglomerates","Conglomerates","Japan","Asia",NA,"english"
"18","Nichicon",2002,"Nichicon_2002",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"19","Procter & Gamble",2002,"Procter&Gamble_2002",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"20","Ricoh",2002,"Ricoh_2002",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"21","Starbucks Coffee Company",2002,"StarbucksCoffeeCompany_2002",NA,"MNE","Food and Beverage Products","Food and Beverage","United States of America","Northern America",NA,"english"
"22","TIM",2002,"TIM_2002",NA,"Large","Telecommunications","Technology and Communications","Italy","Europe",NA,"english"
"23","Toppan",2002,"Toppan_2002",NA,"Large","Other","Other","Japan","Asia",NA,"english"
"24","Vancity",2002,"Vancity_2002",NA,"Large","Financial Services","Financials","Canada","Northern America",NA,"english"
"25","Vodafone Italy",2002,"VodafoneItaly_2002",NA,"Large","Telecommunications","Technology and Communications","Italy","Europe",NA,"non-english"
"26","Westpac Banking Corporation",2002,"WestpacBankingCorporation_2002",NA,"MNE","Financial Services","Financials","Australia","Oceania",NA,"english"
"27","Aspen Snowmass",2003,"AspenSnowmass_2003",NA,"SME","Tourism/Leisure","Tourism/Leisure","United States of America","Northern America",NA,"english"
"28","Banrisul",2003,"Banrisul_2003",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"29","Canfor Corp.",2003,"CanforCorp._2003",NA,"MNE","Forest and Paper Products","Renewable Resources & Alternative Energy","Canada","Northern America",NA,"english"
"30","Citigroup",2003,"Citigroup_2003",NA,"MNE","Financial Services","Financials","United States of America","Northern America",NA,"english"
"31","Codelco",2003,"Codelco_2003",NA,"Large","Mining","Extractives and Minerals Processing","Chile","Latin America & the Caribbean",NA,"non-english"
"32","DIC Corporation",2003,"DICCorporation_2003",NA,"Large","Chemicals","Resource Transformation","Japan","Asia",NA,"english"
"33","Gas Natural SDG",2003,"GasNaturalSDG_2003",NA,"Large","Energy Utilities","Infrastructure","Spain","Europe",NA,"non-english"
"34","Gaz de France",2003,"GazdeFrance_2003",NA,"Large","Energy Utilities","Infrastructure","France","Europe",NA,"non-english"
"35","Industria Mexicana de Coca-Cola",2003,"IndustriaMexicanadeCoca-Cola_2003",NA,"Large","Food and Beverage Products","Food and Beverage","Mexico","Latin America & the Caribbean",NA,"non-english"
"36","JFE Holdings",2003,"JFEHoldings_2003",NA,"MNE","Conglomerates","Conglomerates","Japan","Asia",NA,"english"
"37","Mandom",2003,"Mandom_2003",NA,"Large","Consumer Durables","Consumer Goods","Japan","Asia",NA,"non-english"
"38","Motor Oil Hellas",2003,"MotorOilHellas_2003",NA,"MNE","Energy","Extractives and Minerals Processing","Greece","Europe",NA,"english"
"39","Nichicon",2003,"Nichicon_2003",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"40","Procter & Gamble",2003,"Procter&Gamble_2003",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"41","Ricoh",2003,"Ricoh_2003",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"42","Starbucks Coffee Company",2003,"StarbucksCoffeeCompany_2003",NA,"MNE","Food and Beverage Products","Food and Beverage","United States of America","Northern America",NA,"english"
"43","Syncrude",2003,"Syncrude_2003",NA,"Large","Energy","Extractives and Minerals Processing","Canada","Northern America",NA,"english"
"44","TIM",2003,"TIM_2003",NA,"Large","Telecommunications","Technology and Communications","Italy","Europe",NA,"english"
"45","Toppan",2003,"Toppan_2003",NA,"Large","Other","Other","Japan","Asia",NA,"english"
"46","Vancity",2003,"Vancity_2003",NA,"Large","Financial Services","Financials","Canada","Northern America",NA,"english"
"47","Vodafone Greece",2003,"VodafoneGreece_2003",NA,"Large","Telecommunications","Technology and Communications","Greece","Europe",NA,"english"
"48","ABB Asea Brown Boveri Ltd",2004,"ABBAseaBrownBoveriLtd_2004",NA,"MNE","Equipment","Resource Transformation","Switzerland","Europe",NA,"english"
"49","AECA",2004,"AECA_2004",NA,"Large","Non-Profit / Services","Non-Profit / Services","Spain","Europe",NA,"non-english"
"50","AECI",2004,"AECI_2004",NA,"Large","Chemicals","Resource Transformation","South Africa","Africa",NA,"english"
"51","Aspen Snowmass",2004,"AspenSnowmass_2004",NA,"SME","Tourism/Leisure","Tourism/Leisure","United States of America","Northern America",NA,"english"
"52","Banrisul",2004,"Banrisul_2004",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"53","Canfor Corp.",2004,"CanforCorp._2004",NA,"MNE","Forest and Paper Products","Renewable Resources & Alternative Energy","Canada","Northern America",NA,"english"
"54","Citigroup",2004,"Citigroup_2004",NA,"MNE","Financial Services","Financials","United States of America","Northern America",NA,"english"
"55","Codelco",2004,"Codelco_2004",NA,"Large","Mining","Extractives and Minerals Processing","Chile","Latin America & the Caribbean",NA,"non-english"
"56","Contratas y Obras Empresa Constructora",2004,"ContratasyObrasEmpresaConstructora_2004",NA,"Large","Construction","Infrastructure","Spain","Europe",NA,"non-english"
"57","Diageo",2004,"Diageo_2004",NA,"MNE","Food and Beverage Products","Food and Beverage","United Kingdom of Great Britain and Northern Ireland","Europe",NA,"english"
"58","DIC Corporation",2004,"DICCorporation_2004",NA,"Large","Chemicals","Resource Transformation","Japan","Asia",NA,"english"
"59","Dow Chemical",2004,"DowChemical_2004",NA,"Large","Chemicals","Resource Transformation","United States of America","Northern America",NA,"english"
"60","Gas Natural SDG",2004,"GasNaturalSDG_2004",NA,"Large","Energy Utilities","Infrastructure","Spain","Europe",NA,"non-english"
"61","Gruppo Hera",2004,"GruppoHera_2004",NA,"Large","Energy Utilities","Infrastructure","Italy","Europe",NA,"english"
"62","H&M (Hennes & Mauritz)",2004,"H&M(Hennes&Mauritz)_2004",NA,"Large","Retailers","Consumer Goods","Sweden","Europe",NA,"english"
"63","Holcim Technology Ltd.",2004,"HolcimTechnologyLtd._2004",NA,"Large","Construction Materials","Extractives and Minerals Processing","Switzerland","Europe",NA,"english"
"64","HypoVereinsbank (HVB) - UniCredit AG",2004,"HypoVereinsbank(HVB)-UniCreditAG_2004",NA,"Large","Financial Services","Financials","Germany","Europe",NA,"non-english"
"65","IBM",2004,"IBM_2004",NA,"MNE","Computers","Technology and Communications","United States of America","Northern America",NA,"english"
"66","Industria Mexicana de Coca-Cola",2004,"IndustriaMexicanadeCoca-Cola_2004",NA,"Large","Food and Beverage Products","Food and Beverage","Mexico","Latin America & the Caribbean",NA,"non-english"
"67","Mandom",2004,"Mandom_2004",NA,"Large","Consumer Durables","Consumer Goods","Japan","Asia",NA,"non-english"
"68","memo AG",2004,"memoAG_2004",NA,"SME","Consumer Durables","Consumer Goods","Germany","Europe",NA,"non-english"
"69","Motor Oil Hellas",2004,"MotorOilHellas_2004",NA,"MNE","Energy","Extractives and Minerals Processing","Greece","Europe",NA,"english"
"70","National Australia Bank (NAB)",2004,"NationalAustraliaBank(NAB)_2004",NA,"MNE","Financial Services","Financials","Australia","Oceania",NA,"english"
"71","Nichicon",2004,"Nichicon_2004",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"72","Procter & Gamble",2004,"Procter&Gamble_2004",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"73","Ricoh",2004,"Ricoh_2004",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"74","Starbucks Coffee Company",2004,"StarbucksCoffeeCompany_2004",NA,"MNE","Food and Beverage Products","Food and Beverage","United States of America","Northern America",NA,"english"
"75","SUEZ (Water Spain)",2004,"SUEZ(WaterSpain)_2004",NA,"Large","Water Utilities","Infrastructure","Spain","Europe",NA,"english"
"76","Sumitomo Chemicals",2004,"SumitomoChemicals_2004",NA,"MNE","Chemicals","Resource Transformation","Japan","Asia",NA,"english"
"77","Syncrude",2004,"Syncrude_2004",NA,"Large","Energy","Extractives and Minerals Processing","Canada","Northern America",NA,"english"
"78","TIM",2004,"TIM_2004",NA,"Large","Telecommunications","Technology and Communications","Italy","Europe",NA,"english"
"79","Vancity",2004,"Vancity_2004",NA,"Large","Financial Services","Financials","Canada","Northern America",NA,"english"
"80","Vodafone Espana",2004,"VodafoneEspana_2004",NA,"Large","Telecommunications","Technology and Communications","Spain","Europe",NA,"non-english"
"81","Vodafone Italy",2004,"VodafoneItaly_2004",NA,"Large","Telecommunications","Technology and Communications","Italy","Europe",NA,"non-english"
"82","Wilson Bayly Holmes-Ovcon",2004,"WilsonBaylyHolmes-Ovcon_2004",NA,"Large","Other","Other","South Africa","Africa",NA,"english"
"83","Aargau",2005,"Aargau_2005",NA,"Large","Public Agency","Services","Switzerland","Europe",NA,"non-english"
"84","ABB Asea Brown Boveri Ltd",2005,"ABBAseaBrownBoveriLtd_2005",NA,"MNE","Equipment","Resource Transformation","Switzerland","Europe",NA,"english"
"85","AECI",2005,"AECI_2005",NA,"Large","Chemicals","Resource Transformation","South Africa","Africa",NA,"english"
"86","Aspen Snowmass",2005,"AspenSnowmass_2005",NA,"SME","Tourism/Leisure","Tourism/Leisure","United States of America","Northern America",NA,"english"
"87","Axel Springer",2005,"AxelSpringer_2005",NA,"Large","Media","Technology and Communications","Germany","Europe",NA,"non-english"
"88","Banrisul",2005,"Banrisul_2005",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"89","British American Tobacco Malaysia",2005,"BritishAmericanTobaccoMalaysia_2005",NA,"Large","Tobacco","Food and Beverage","Malaysia","Asia",NA,"english"
"90","Canfor Corp.",2005,"CanforCorp._2005",NA,"MNE","Forest and Paper Products","Renewable Resources & Alternative Energy","Canada","Northern America",NA,"english"
"91","Cisco Systems, Inc.",2005,"CiscoSystems,Inc._2005",NA,"MNE","Technology Hardware","Technology and Communications","United States of America","Northern America",NA,"english"
"92","Citigroup",2005,"Citigroup_2005",NA,"MNE","Financial Services","Financials","United States of America","Northern America",NA,"english"
"93","Codelco",2005,"Codelco_2005",NA,"Large","Mining","Extractives and Minerals Processing","Chile","Latin America & the Caribbean",NA,"non-english"
"94","Diageo",2005,"Diageo_2005",NA,"MNE","Food and Beverage Products","Food and Beverage","United Kingdom of Great Britain and Northern Ireland","Europe",NA,"english"
"95","DIC Corporation",2005,"DICCorporation_2005",NA,"Large","Chemicals","Resource Transformation","Japan","Asia",NA,"english"
"96","Dow Chemical",2005,"DowChemical_2005",NA,"Large","Chemicals","Resource Transformation","United States of America","Northern America",NA,"english"
"97","Edipower",2005,"Edipower_2005",NA,"Large","Energy","Extractives and Minerals Processing","Italy","Europe",NA,"non-english"
"98","Egged Israel Transport Cooperative Society",2005,"EggedIsraelTransportCooperativeSociety_2005",NA,"Large","Logistics","Transportation","Israel","Asia",NA,"non-english"
"99","Epson (Seiko Epson)",2005,"Epson(SeikoEpson)_2005",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"100","Gas Natural SDG",2005,"GasNaturalSDG_2005",NA,"Large","Energy Utilities","Infrastructure","Spain","Europe",NA,"non-english"
"101","GRI",2005,"GRI_2005",NA,"SME","Non-Profit / Services","Non-Profit / Services","Netherlands","Europe",NA,"english"
"102","Heidelberger Druckmaschinen",2005,"HeidelbergerDruckmaschinen_2005",NA,"Large","Equipment","Resource Transformation","Germany","Europe",NA,"non-english"
"103","Henkel",2005,"Henkel_2005",NA,"MNE","Household and Personal Products","Consumer Goods","Germany","Europe",NA,"english"
"104","Holcim Brazil",2005,"HolcimBrazil_2005",NA,"Large","Construction Materials","Extractives and Minerals Processing","Brazil","Latin America & the Caribbean",NA,"non-english"
"105","Holcim Switzerland",2005,"HolcimSwitzerland_2005",NA,"Large","Construction Materials","Extractives and Minerals Processing","Switzerland","Europe",NA,"non-english"
"106","HypoVereinsbank (HVB) - UniCredit AG",2005,"HypoVereinsbank(HVB)-UniCreditAG_2005",NA,"Large","Financial Services","Financials","Germany","Europe",NA,"non-english"
"107","Industria Mexicana de Coca-Cola",2005,"IndustriaMexicanadeCoca-Cola_2005",NA,"Large","Food and Beverage Products","Food and Beverage","Mexico","Latin America & the Caribbean",NA,"non-english"
"108","Intesa Sanpaolo",2005,"IntesaSanpaolo_2005",NA,"Large","Financial Services","Financials","Italy","Europe",NA,"english"
"109","JFE Holdings",2005,"JFEHoldings_2005",NA,"MNE","Conglomerates","Conglomerates","Japan","Asia",NA,"english"
"110","KBC Group",2005,"KBCGroup_2005",NA,"Large","Financial Services","Financials","Belgium","Europe",NA,"english"
"111","Kureha Chemical Industries",2005,"KurehaChemicalIndustries_2005",NA,"Large","Chemicals","Resource Transformation","Japan","Asia",NA,"non-english"
"112","Lennar Corporation",2005,"LennarCorporation_2005",NA,"Large","Construction","Infrastructure","United States of America","Northern America",NA,"english"
"113","Mandom",2005,"Mandom_2005",NA,"Large","Consumer Durables","Consumer Goods","Japan","Asia",NA,"non-english"
"114","Mango Group",2005,"MangoGroup_2005",NA,"Large","Textiles and Apparel","Consumer Goods","Spain","Europe",NA,"english"
"115","Mazda",2005,"Mazda_2005",NA,"Large","Automotive","Transportation","Japan","Asia",NA,"english"
"116","Motor Oil Hellas",2005,"MotorOilHellas_2005",NA,"MNE","Energy","Extractives and Minerals Processing","Greece","Europe",NA,"english"
"117","National Australia Bank (NAB)",2005,"NationalAustraliaBank(NAB)_2005",NA,"MNE","Financial Services","Financials","Australia","Oceania",NA,"english"
"118","Nexity",2005,"Nexity_2005",NA,"MNE","Real Estate","Infrastructure","France","Europe",NA,"non-english"
"119","Next PLC",2005,"NextPLC_2005",NA,"MNE","Retailers","Consumer Goods","United Kingdom of Great Britain and Northern Ireland","Europe",NA,"english"
"120","Nichicon",2005,"Nichicon_2005",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"121","Nitto Denko",2005,"NittoDenko_2005",NA,"MNE","Other","Other","Japan","Asia",NA,"english"
"122","Osaka Gas",2005,"OsakaGas_2005",NA,"Large","Energy","Extractives and Minerals Processing","Japan","Asia",NA,"english"
"123","Procter & Gamble",2005,"Procter&Gamble_2005",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"124","Ricoh",2005,"Ricoh_2005",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"125","Sanlam",2005,"Sanlam_2005",NA,"Large","Financial Services","Financials","South Africa","Africa",NA,"non-english"
"126","Sumitomo Chemicals",2005,"SumitomoChemicals_2005",NA,"MNE","Chemicals","Resource Transformation","Japan","Asia",NA,"english"
"127","Sunoco",2005,"Sunoco_2005",NA,"Large","Chemicals","Resource Transformation","United States of America","Northern America",NA,"english"
"128","TIM",2005,"TIM_2005",NA,"Large","Telecommunications","Technology and Communications","Italy","Europe",NA,"english"
"129","Toshiba",2005,"Toshiba_2005",NA,"MNE","Conglomerates","Conglomerates","Japan","Asia",NA,"english"
"130","Universität für Bodenkultur Wien",2005,"UniversitätfürBodenkulturWien_2005",NA,"Large","Universities","Services","Austria","Europe",NA,"english"
"131","Vodafone Espana",2005,"VodafoneEspana_2005",NA,"Large","Telecommunications","Technology and Communications","Spain","Europe",NA,"english"
"132","Vodafone Italy",2005,"VodafoneItaly_2005",NA,"Large","Telecommunications","Technology and Communications","Italy","Europe",NA,"non-english"
"133","Vodafone Netherlands",2005,"VodafoneNetherlands_2005",NA,"Large","Telecommunications","Technology and Communications","Netherlands","Europe",NA,"non-english"
"134","Vodafone NZ",2005,"VodafoneNZ_2005",NA,"Large","Telecommunications","Technology and Communications","New Zealand","Oceania",NA,"english"
"135","Wilson Bayly Holmes-Ovcon",2005,"WilsonBaylyHolmes-Ovcon_2005",NA,"Large","Other","Other","South Africa","Africa",NA,"english"
"136","ABB Asea Brown Boveri Ltd",2006,"ABBAseaBrownBoveriLtd_2006",NA,"MNE","Equipment","Resource Transformation","Switzerland","Europe",NA,"english"
"137","AECA",2006,"AECA_2006",NA,"Large","Non-Profit / Services","Non-Profit / Services","Spain","Europe",NA,"non-english"
"138","AECI",2006,"AECI_2006",NA,"Large","Chemicals","Resource Transformation","South Africa","Africa",NA,"english"
"139","Alpine Electronics",2006,"AlpineElectronics_2006",NA,"MNE","Consumer Durables","Consumer Goods","Japan","Asia",NA,"english"
"140","Alps Electric",2006,"AlpsElectric_2006",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"141","Asahi Group Holdings",2006,"AsahiGroupHoldings_2006",NA,"MNE","Food and Beverage Products","Food and Beverage","Japan","Asia",NA,"english"
"142","ASUSTEK",2006,"ASUSTEK_2006",NA,"MNE","Computers","Technology and Communications","Taiwan","Asia",NA,"non-english"
"143","AT&T",2006,"AT&T_2006",NA,"MNE","Telecommunications","Technology and Communications","United States of America","Northern America",NA,"english"
"144","BA",2006,"BA_2006",NA,"Large","Household and Personal Products","Consumer Goods","Portugal","Europe",NA,"non-english"
"145","Banrisul",2006,"Banrisul_2006",NA,"Large","Financial Services","Financials","Brazil","Latin America & the Caribbean",NA,"non-english"
"146","British American Tobacco Malaysia",2006,"BritishAmericanTobaccoMalaysia_2006",NA,"Large","Tobacco","Food and Beverage","Malaysia","Asia",NA,"non-english"
"147","Canfor Corp.",2006,"CanforCorp._2006",NA,"MNE","Forest and Paper Products","Renewable Resources & Alternative Energy","Canada","Northern America",NA,"english"
"148","Center for Human Rights and Environment (CHRE)",2006,"CenterforHumanRightsandEnvironment(CHRE)_2006",NA,"SME","Non-Profit / Services","Non-Profit / Services","United States of America","Northern America",NA,"non-english"
"149","China Steel Corporation (CSC)",2006,"ChinaSteelCorporation(CSC)_2006",NA,"MNE","Metals Products","Extractives and Minerals Processing","Taiwan","Asia",NA,"non-english"
"150","Cisco Systems, Inc.",2006,"CiscoSystems,Inc._2006",NA,"MNE","Technology Hardware","Technology and Communications","United States of America","Northern America",NA,"english"
"151","Citigroup",2006,"Citigroup_2006",NA,"MNE","Financial Services","Financials","United States of America","Northern America",NA,"english"
"152","Codelco",2006,"Codelco_2006",NA,"Large","Mining","Extractives and Minerals Processing","Chile","Latin America & the Caribbean",NA,"non-english"
"153","Comarca Gipuzkoa - Osakidetza",2006,"ComarcaGipuzkoa-Osakidetza_2006",NA,"Large","Healthcare Services","Healthcare","Spain","Europe",NA,"non-english"
"154","Contratas y Obras Empresa Constructora",2006,"ContratasyObrasEmpresaConstructora_2006",NA,"Large","Construction","Infrastructure","Spain","Europe",NA,"non-english"
"155","Dai Nippon Printing",2006,"DaiNipponPrinting_2006",NA,"Large","Other","Other","Japan","Asia",NA,"english"
"156","Dainippon Screen",2006,"DainipponScreen_2006",NA,"Large","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"157","Daiwa House",2006,"DaiwaHouse_2006",NA,"Large","Construction","Infrastructure","Japan","Asia",NA,"non-english"
"158","DIC Corporation",2006,"DICCorporation_2006",NA,"Large","Chemicals","Resource Transformation","Japan","Asia",NA,"english"
"159","Dow Chemical",2006,"DowChemical_2006",NA,"Large","Chemicals","Resource Transformation","United States of America","Northern America",NA,"english"
"160","Eli Lilly",2006,"EliLilly_2006",NA,"MNE","Healthcare Products","Healthcare","United States of America","Northern America",NA,"english"
"161","EPAL",2006,"EPAL_2006",NA,"Large","Water Utilities","Infrastructure","Portugal","Europe",NA,"non-english"
"162","ESPEC",2006,"ESPEC_2006",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"non-english"
"163","European Investment Bank (EIB)",2006,"EuropeanInvestmentBank(EIB)_2006",NA,"Large","Financial Services","Financials","Luxembourg","Europe",NA,"english"
"164","Findomestic",2006,"Findomestic_2006",NA,"Large","Financial Services","Financials","Italy","Europe",NA,"non-english"
"165","Fondaction CSN",2006,"FondactionCSN_2006",NA,"SME","Financial Services","Financials","Canada","Northern America",NA,"non-english"
"166","Gas Natural Fenosa Argentina",2006,"GasNaturalFenosaArgentina_2006",NA,"MNE","Energy","Extractives and Minerals Processing","Argentina","Latin America & the Caribbean",NA,"non-english"
"167","Gas Natural SDG",2006,"GasNaturalSDG_2006",NA,"Large","Energy Utilities","Infrastructure","Spain","Europe",NA,"non-english"
"168","Gerdau",2006,"Gerdau_2006",NA,"Large","Construction","Infrastructure","Chile","Latin America & the Caribbean",NA,"non-english"
"169","Heidelberger Druckmaschinen",2006,"HeidelbergerDruckmaschinen_2006",NA,"Large","Equipment","Resource Transformation","Germany","Europe",NA,"non-english"
"170","Henkel",2006,"Henkel_2006",NA,"MNE","Household and Personal Products","Consumer Goods","Germany","Europe",NA,"english"
"171","HiPP GmbH & Co. Produktion KG",2006,"HiPPGmbH&Co.ProduktionKG_2006",NA,"Large","Food and Beverage Products","Food and Beverage","Germany","Europe",NA,"non-english"
"172","Hitachi High-Technologies Corp.",2006,"HitachiHigh-TechnologiesCorp._2006",NA,"MNE","Conglomerates","Conglomerates","Japan","Asia",NA,"non-english"
"173","Holcim Technology Ltd.",2006,"HolcimTechnologyLtd._2006",NA,"Large","Construction Materials","Extractives and Minerals Processing","Switzerland","Europe",NA,"english"
"174","House Foods",2006,"HouseFoods_2006",NA,"Large","Food and Beverage Products","Food and Beverage","Japan","Asia",NA,"non-english"
"175","HypoVereinsbank (HVB) - UniCredit AG",2006,"HypoVereinsbank(HVB)-UniCreditAG_2006",NA,"Large","Financial Services","Financials","Germany","Europe",NA,"non-english"
"176","Iino Lines",2006,"IinoLines_2006",NA,"Large","Logistics","Transportation","Japan","Asia",NA,"english"
"177","Iseki",2006,"Iseki_2006",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"178","Itoham",2006,"Itoham_2006",NA,"Large","Food and Beverage Products","Food and Beverage","Japan","Asia",NA,"non-english"
"179","Iwatani",2006,"Iwatani_2006",NA,"MNE","Energy Utilities","Infrastructure","Japan","Asia",NA,"english"
"180","Joshin",2006,"Joshin_2006",NA,"SME","Retailers","Consumer Goods","Japan","Asia",NA,"non-english"
"181","J-Power",2006,"J-Power_2006",NA,"Large","Energy","Extractives and Minerals Processing","Japan","Asia",NA,"non-english"
"182","Kajima",2006,"Kajima_2006",NA,"Large","Construction","Infrastructure","Japan","Asia",NA,"english"
"183","KBC Group",2006,"KBCGroup_2006",NA,"Large","Financial Services","Financials","Belgium","Europe",NA,"english"
"184","Kimberly-Clark",2006,"Kimberly-Clark_2006",NA,"Large","Household and Personal Products","Consumer Goods","United States of America","Northern America",NA,"english"
"185","KOBE STEEL, LTD. (Kobelco)",2006,"KOBESTEEL,LTD.(Kobelco)_2006",NA,"MNE","Metals Products","Extractives and Minerals Processing","Japan","Asia",NA,"non-english"
"186","Konica Minolta Group",2006,"KonicaMinoltaGroup_2006",NA,"MNE","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"187","Kureha Chemical Industries",2006,"KurehaChemicalIndustries_2006",NA,"Large","Chemicals","Resource Transformation","Japan","Asia",NA,"non-english"
"188","Kyodo Printing Group",2006,"KyodoPrintingGroup_2006",NA,"Large","Other","Other","Japan","Asia",NA,"non-english"
"189","Lintec",2006,"Lintec_2006",NA,"MNE","Other","Other","Japan","Asia",NA,"non-english"
"190","Madison Gas and Electric",2006,"MadisonGasandElectric_2006",NA,"Large","Energy","Extractives and Minerals Processing","United States of America","Northern America",NA,"english"
"191","MAEDA",2006,"MAEDA_2006",NA,"MNE","Construction","Infrastructure","Japan","Asia",NA,"non-english"
"192","Mandom",2006,"Mandom_2006",NA,"Large","Consumer Durables","Consumer Goods","Japan","Asia",NA,"non-english"
"193","Mango Group",2006,"MangoGroup_2006",NA,"Large","Textiles and Apparel","Consumer Goods","Spain","Europe",NA,"english"
"194","Megmilk",2006,"Megmilk_2006",NA,"Large","Food and Beverage Products","Food and Beverage","Japan","Asia",NA,"non-english"
"195","memo AG",2006,"memoAG_2006",NA,"SME","Consumer Durables","Consumer Goods","Germany","Europe",NA,"non-english"
"196","Motor Oil Hellas",2006,"MotorOilHellas_2006",NA,"MNE","Energy","Extractives and Minerals Processing","Greece","Europe",NA,"english"
"197","National Australia Bank (NAB)",2006,"NationalAustraliaBank(NAB)_2006",NA,"MNE","Financial Services","Financials","Australia","Oceania",NA,"english"
"198","Nexity",2006,"Nexity_2006",NA,"MNE","Real Estate","Infrastructure","France","Europe",NA,"non-english"
"199","Next PLC",2006,"NextPLC_2006",NA,"MNE","Retailers","Consumer Goods","United Kingdom of Great Britain and Northern Ireland","Europe",NA,"english"
"200","Nisshin Seifun",2006,"NisshinSeifun_2006",NA,"Large","Food and Beverage Products","Food and Beverage","Japan","Asia",NA,"non-english"
"201","Nissin Electric",2006,"NissinElectric_2006",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"non-english"
"202","Nitto Denko",2006,"NittoDenko_2006",NA,"MNE","Other","Other","Japan","Asia",NA,"english"
"203","Nomura Research Institute",2006,"NomuraResearchInstitute_2006",NA,"MNE","Other","Other","Japan","Asia",NA,"english"
"204","Noritz",2006,"Noritz_2006",NA,"Large","Metals Products","Extractives and Minerals Processing","Japan","Asia",NA,"non-english"
"205","NSK Ltd.",2006,"NSKLtd._2006",NA,"MNE","Equipment","Resource Transformation","Japan","Asia",NA,"non-english"
"206","Obayashi",2006,"Obayashi_2006",NA,"MNE","Construction","Infrastructure","Japan","Asia",NA,"non-english"
"207","Okamura",2006,"Okamura_2006",NA,"MNE","Other","Other","Japan","Asia",NA,"non-english"
