"","Name","Year","file","Organization_type","Size","Sector","Sec_SASB","Country","Region","OECD","english_non_english"
"1199","Cementos Argos",2010,"CementosArgos_2010",NA,"MNE","Conglomerates","Conglomerates","Colombia","Latin America & the Caribbean",NA,"non-english"
"1200","Center for Human Rights and Environment (CHRE)",2010,"CenterforHumanRightsandEnvironment(CHRE)_2010",NA,"SME","Non-Profit / Services","Non-Profit / Services","United States of America","Northern America",NA,"non-english"
"1201","CEPSA",2010,"CEPSA_2010",NA,"Large","Energy","Extractives and Minerals Processing","Spain","Europe",NA,"english"
"1202","Cermaq",2010,"Cermaq_2010",NA,"Large","Food and Beverage Products","Food and Beverage","Norway","Europe",NA,"english"
"1203","China Agri-Industries Holdings Limited",2010,"ChinaAgri-IndustriesHoldingsLimited_2010",NA,"Large","Food and Beverage Products","Food and Beverage","Mainland China","Asia",NA,"english"
"1204","China Datang Corporation (CDT)",2010,"ChinaDatangCorporation(CDT)_2010",NA,"Large","Energy Utilities","Infrastructure","Mainland China","Asia",NA,"non-english"
"1205","China Huaneng Group",2010,"ChinaHuanengGroup_2010",NA,"Large","Energy","Extractives and Minerals Processing","Mainland China","Asia",NA,"english"
"1206","China Merchants Bank",2010,"ChinaMerchantsBank_2010",NA,"Large","Financial Services","Financials","Mainland China","Asia",NA,"english"
"1207","China Metallurgical Group Corporation",2010,"ChinaMetallurgicalGroupCorporation_2010",NA,"Large","Mining","Extractives and Minerals Processing","Mainland China","Asia",NA,"english"
"1208","China Minmetals Corporation",2010,"ChinaMinmetalsCorporation_2010",NA,"Large","Mining","Extractives and Minerals Processing","Mainland China","Asia",NA,"english"
"1209","China National Machinery Industry Corporation - China",2010,"ChinaNationalMachineryIndustryCorporation-China_2010",NA,"Large","Equipment","Resource Transformation","Mainland China","Asia",NA,"non-english"
"1210","China Oceanwide Holdings Group",2010,"ChinaOceanwideHoldingsGroup_2010",NA,"Large","Real Estate","Infrastructure","Mainland China","Asia",NA,"non-english"
"1211","China Pacific Insurance",2010,"ChinaPacificInsurance_2010",NA,"Large","Financial Services","Financials","Mainland China","Asia",NA,"non-english"
"1212","China Railway Construction Corporation",2010,"ChinaRailwayConstructionCorporation_2010",NA,"Large","Construction","Infrastructure","Mainland China","Asia",NA,"english"
"1213","China Shenhua Group Corporation",2010,"ChinaShenhuaGroupCorporation_2010",NA,"Large","Energy","Extractives and Minerals Processing","Mainland China","Asia",NA,"non-english"
"1214","China Telecom",2010,"ChinaTelecom_2010",NA,"Large","Telecommunications","Technology and Communications","Mainland China","Asia",NA,"english"
"1215","Chr. Hansen",2010,"Chr.Hansen_2010",NA,"MNE","Other","Other","Denmark","Europe",NA,"english"
"1216","Chugai Pharmaceutical",2010,"ChugaiPharmaceutical_2010",NA,"MNE","Healthcare Products","Healthcare","Japan","Asia",NA,"english"
"1217","Chunghwa Picture Tubes (CPT)",2010,"ChunghwaPictureTubes(CPT)_2010",NA,"MNE","Technology Hardware","Technology and Communications","Taiwan","Asia",NA,"english"
"1218","Cisco Systems, Inc.",2010,"CiscoSystems,Inc._2010",NA,"MNE","Technology Hardware","Technology and Communications","United States of America","Northern America",NA,"english"
"1219","Citigroup",2010,"Citigroup_2010",NA,"MNE","Financial Services","Financials","United States of America","Northern America",NA,"non-english"
"1220","City Developments Limited (CDL)",2010,"CityDevelopmentsLimited(CDL)_2010",NA,"MNE","Real Estate","Infrastructure","Singapore","Asia",NA,"non-english"
"1221","Clariant",2010,"Clariant_2010",NA,"Large","Chemicals","Resource Transformation","Switzerland","Europe",NA,"non-english"
"1222","Clicks",2010,"Clicks_2010",NA,"Large","Retailers","Consumer Goods","South Africa","Africa",NA,"non-english"
"1223","CLP Holdings Limited",2010,"CLPHoldingsLimited_2010",NA,"Large","Energy","Extractives and Minerals Processing","Hong Kong","Asia",NA,"english"
"1224","Codan Forsikring",2010,"CodanForsikring_2010",NA,"Large","Other","Other","Norway","Europe",NA,"non-english"
"1225","Codelco",2010,"Codelco_2010",NA,"Large","Mining","Extractives and Minerals Processing","Chile","Latin America & the Caribbean",NA,"non-english"
"1226","Combis",2010,"Combis_2010",NA,"Large","Other","Other","Croatia","Europe",NA,"non-english"
"1227","Comergon",2010,"Comergon_2010",NA,"SME","Financial Services","Financials","Greece","Europe",NA,"non-english"
"1228","Community Health Systems",2010,"CommunityHealthSystems_2010",NA,"MNE","Healthcare Services","Healthcare","United States of America","Northern America",NA,"non-english"
"1229","Compagnia Trasporti Pubblici",2010,"CompagniaTrasportiPubblici_2010",NA,"Large","Other","Other","Italy","Europe",NA,"non-english"
"1230","ConAgra Foods",2010,"ConAgraFoods_2010",NA,"Large","Food and Beverage Products","Food and Beverage","United States of America","Northern America",NA,"english"
"1231","Coop Sverige",2010,"CoopSverige_2010",NA,"Large","Retailers","Consumer Goods","Sweden","Europe",NA,"non-english"
"1232","Co-operative Bank",2010,"Co-operativeBank_2010",NA,"Large","Financial Services","Financials","United Kingdom of Great Britain and Northern Ireland","Europe",NA,"english"
"1233","COPEL",2010,"COPEL_2010",NA,"Large","Energy Utilities","Infrastructure","Brazil","Latin America & the Caribbean",NA,"non-english"
"1234","Cosmo Oil",2010,"CosmoOil_2010",NA,"MNE","Energy","Extractives and Minerals Processing","Japan","Asia",NA,"non-english"
"1235","CRH Magyarország Kft.",2010,"CRHMagyarországKft._2010",NA,"MNE","Construction","Infrastructure","Hungary","Europe",NA,"english"
"1236","Criteria CaixaCorp",2010,"CriteriaCaixaCorp_2010",NA,"Large","Financial Services","Financials","Spain","Europe",NA,"english"
"1237","CSR Asia",2010,"CSRAsia_2010",NA,"SME","Other","Other","Singapore","Asia",NA,"non-english"
"1238","CTBC Holding",2010,"CTBCHolding_2010",NA,"MNE","Financial Services","Financials","Taiwan","Asia",NA,"non-english"
"1239","CTEEP",2010,"CTEEP_2010",NA,"Large","Energy","Extractives and Minerals Processing","Brazil","Latin America & the Caribbean",NA,"non-english"
"1240","CVS Health",2010,"CVSHealth_2010",NA,"Large","Healthcare Products","Healthcare","United States of America","Northern America",NA,"english"
"1241","CYTA",2010,"CYTA_2010",NA,"Large","Telecommunications","Technology and Communications","Cyprus","Asia",NA,"english"
"1242","Cytec Industries",2010,"CytecIndustries_2010",NA,"Large","Chemicals","Resource Transformation","United States of America","Northern America",NA,"non-english"
"1243","Dai Nippon Printing",2010,"DaiNipponPrinting_2010",NA,"Large","Other","Other","Japan","Asia",NA,"english"
"1244","DAIHEN",2010,"DAIHEN_2010",NA,"Large","Equipment","Resource Transformation","Japan","Asia",NA,"non-english"
"1245","Daiichi Sankyo Brasil",2010,"DaiichiSankyoBrasil_2010",NA,"Large","Healthcare Products","Healthcare","Brazil","Latin America & the Caribbean",NA,"english"
"1246","Daiwa Securities Group",2010,"DaiwaSecuritiesGroup_2010",NA,"MNE","Financial Services","Financials","Japan","Asia",NA,"english"
"1247","Danske Bank Group",2010,"DanskeBankGroup_2010",NA,"Large","Financial Services","Financials","Denmark","Europe",NA,"english"
"1248","De Nederlandsche Bank",2010,"DeNederlandscheBank_2010",NA,"Large","Financial Services","Financials","Netherlands","Europe",NA,"non-english"
"1249","Delta Electronics",2010,"DeltaElectronics_2010",NA,"MNE","Technology Hardware","Technology and Communications","Taiwan","Asia",NA,"non-english"
"1250","Dentsu",2010,"Dentsu_2010",NA,"Large","Commercial Services","Financials","Japan","Asia",NA,"non-english"
"1251","Department of Municipal Affairs, Abu Dhabi - United Arab Emirates",2010,"DepartmentofMunicipalAffairs,AbuDhabi-UnitedArabEmirates_2010",NA,"Large","Public Agency","Services","United Arab Emirates","Asia",NA,"english"
"1252","DGC One AB",2010,"DGCOneAB_2010",NA,"MNE","Telecommunications","Technology and Communications","Sweden","Europe",NA,"non-english"
"1253","DIC Corporation",2010,"DICCorporation_2010",NA,"Large","Chemicals","Resource Transformation","Japan","Asia",NA,"english"
"1254","Discovery",2010,"Discovery_2010",NA,"Large","Financial Services","Financials","South Africa","Africa",NA,"english"
"1255","Dongbu Insurance",2010,"DongbuInsurance_2010",NA,"Large","Financial Services","Financials","Korea, Republic of","Asia",NA,"english"
"1256","Dongfeng Motor",2010,"DongfengMotor_2010",NA,"Large","Automotive","Transportation","Mainland China","Asia",NA,"non-english"
"1257","Dubai Aluminium (DUBAL)",2010,"DubaiAluminium(DUBAL)_2010",NA,"Large","Metals Products","Extractives and Minerals Processing","United Arab Emirates","Asia",NA,"english"
"1258","Duratex",2010,"Duratex_2010",NA,"Large","Forest and Paper Products","Renewable Resources & Alternative Energy","Brazil","Latin America & the Caribbean",NA,"non-english"
"1259","East Japan Railway",2010,"EastJapanRailway_2010",NA,"Large","Railroad","Infrastructure","Japan","Asia",NA,"english"
"1260","EBRD (European Bank for Reconstruction and Development)",2010,"EBRD(EuropeanBankforReconstructionandDevelopment)_2010",NA,"Large","Financial Services","Financials","United Kingdom of Great Britain and Northern Ireland","Europe",NA,"english"
"1261","Ebro",2010,"Ebro_2010",NA,"MNE","Food and Beverage Products","Food and Beverage","Spain","Europe",NA,"non-english"
"1262","Eczacibasi",2010,"Eczacibasi_2010",NA,"Large","Conglomerates","Conglomerates","Turkey","Asia",NA,"english"
"1263","Egetæpper",2010,"Egetæpper_2010",NA,"MNE","Household and Personal Products","Consumer Goods","Denmark","Europe",NA,"non-english"
